SameField,SameRegion,SameRace,SharedInterest,match
0,1,0,0.48265357148984267,0
0,1,0,0.6898935002353986,0
0,1,0,0.6448089761960846,0
0,1,1,0.5295725222883914,0
0,0,1,0.6776789802602714,0
0,1,1,0.6393763700760589,0
0,0,1,0.7314653194895573,0
0,0,0,0.4462218040519992,1
1,0,0,0.3949802119844339,1
0,0,0,0.5609941073884506,1
0,0,0,0.23537228433688695,0
0,0,0,0.6703701523472492,0
0,0,0,0.8165215891578498,0
0,0,1,0.376591108387334,0
0,0,0,0.593146225183373,0
0,0,0,0.31516529588988385,0
0,0,0,0.5032662353735722,0
0,0,0,0.7827194468760823,0
0,0,0,0.6912473254543381,0
0,0,0,0.6206473749776951,0
0,1,0,0.3575753958677594,0
0,0,0,0.4631277613110767,0
0,1,0,0.5381866580934737,0
0,0,1,0.35113736100702325,0
0,0,1,0.7685332896428967,0
0,0,1,0.4114839033580324,0
0,0,1,0.6221595018826478,0
0,0,1,0.5089602578297524,0
1,0,1,0.5171945635370262,0
0,1,0,0.4826717332679575,0
0,1,0,0.4363055507641956,0
0,1,1,0.46075178279226425,0
0,1,1,0.4910966280325192,0
1,1,1,0.7125374300099491,0
0,1,1,0.734921271461519,0
0,1,0,0.39550937330831654,0
0,1,0,0.540789282035116,0
0,0,0,0.6542215729753201,0
0,1,0,0.8104052930685992,0
0,0,1,0.5114939894527063,0
0,0,1,0.33927261227486005,0
0,0,1,0.598041035000507,0
0,0,1,0.3647368056446295,0
0,0,1,0.5702433669236686,0
1,0,1,0.7307739516108491,0
0,1,0,0.5089196732593719,0
0,1,0,0.7201141924798716,0
0,1,1,0.6160492273990036,0
0,1,1,0.6851326268270606,0
1,1,1,0.6207974298524752,0
0,1,1,0.4623976620484292,0
0,1,0,0.8043225248671206,0
0,1,0,0.49245866018213164,0
0,0,0,0.6668241199582203,0
0,1,0,0.5864719631259753,0
0,0,1,0.6267797454173224,0
0,0,1,0.6491209729605366,0
0,0,1,0.6304747913726716,0
0,0,1,0.5538902891010165,0
0,0,1,0.614010527558148,0
1,0,1,0.707747440754327,0
0,1,0,0.48420595938706984,0
0,1,0,0.6885979693480161,0
0,1,1,0.6194697929875097,0
0,1,1,0.6150552167868202,0
1,1,1,0.640831339993412,0
0,1,1,0.6146603694243019,0
0,1,0,0.6336891726066796,0
0,1,0,0.3796240539918171,0
0,0,0,0.39644392538430046,0
0,1,0,0.4331990805858103,0
0,0,0,0.3667671386241699,0
1,0,0,0.7324232760897511,0
0,0,0,0.317435550675942,0
0,0,0,0.6569195625584809,1
0,0,0,0.3165147202452043,0
0,0,0,0.29570667704898157,0
0,1,0,0.5723748283432303,0
0,1,0,0.34616252615406695,1
0,1,0,0.5394438063300334,0
0,1,0,0.31294623801239785,0
0,1,0,0.41744839982632437,0
0,1,0,0.44657303815982075,0
0,1,0,0.3693317215687158,0
0,1,0,0.592241175448178,0
0,0,0,0.35417127117108993,0
0,1,0,0.5729908930100445,0
0,0,1,0.6768061198606428,0
0,0,1,0.2869749332615671,1
0,0,1,0.5825813310475967,1
0,0,1,0.5352889016246665,0
0,0,1,0.5613504729681323,0
1,0,1,0.5817851533563316,0
0,1,0,0.5902433590237673,0
0,1,0,0.7786684553970047,0
0,1,1,0.5116120708491272,0
0,1,1,0.7265388605050911,0
1,1,1,0.5657556739249917,0
0,1,1,0.43771695739343086,0
0,1,0,0.7692881886254819,0
1,1,0,0.6304374905962385,0
1,0,0,0.4111070483446514,0
0,1,0,0.7436679513360441,0
0,0,1,0.6403076132006921,0
0,0,1,0.35235813928033666,0
0,0,1,0.3910567094597821,0
0,0,1,0.4757229651491348,0
0,0,1,0.5871595250570147,0
0,0,1,0.7151669001292851,0
0,1,0,0.5684971966455536,1
1,1,0,0.7698992288168987,0
1,1,1,0.4144085466019858,0
1,1,1,0.587220628292414,0
0,1,1,0.6131613403813777,0
0,1,1,0.6213919530873948,0
1,1,0,0.7604318124282862,1
1,1,0,0.4310176441562631,0
1,0,0,0.36195920113961566,0
0,1,0,0.7357289976872283,0
0,0,1,0.30663807610597893,0
0,0,1,0.4945635945029164,0
0,0,1,0.3595418135432156,0
0,0,1,0.3300437258141521,0
0,0,1,0.3982365116966501,0
0,0,1,0.7533390563450092,1
0,1,0,0.21484081777930564,1
1,1,0,0.4939729380070091,1
1,1,1,0.3508812978217822,0
1,1,1,0.5242731354330573,0
0,1,1,0.6953473488676346,0
0,1,1,0.6309305657704143,0
1,1,0,0.3724780211042136,1
0,1,1,0.4024790870234224,0
0,0,1,0.3176996060159247,0
0,1,1,0.705893130710791,0
0,0,0,0.3702406449056991,0
1,0,0,0.47066780325537194,0
0,0,0,0.33977067214437817,0
0,0,0,0.3656147975306955,0
0,0,0,0.4490289812879352,0
0,0,0,0.679113531372854,0
0,1,1,0.5126754643958618,0
0,1,0,0.49156112167825683,0
0,1,0,0.2599002545702835,0
0,1,0,0.5228325506463692,0
0,1,0,0.6522495709541769,0
0,1,0,0.5624724515258822,0
0,1,0,0.5143173767281474,0
0,1,0,0.3176143818256827,0
0,0,0,0.564163550568207,0
0,1,0,0.8299974240097545,0
0,0,1,0.47528363633689746,0
1,0,1,0.44769925231959695,0
0,0,1,0.2654399723860805,0
0,0,1,0.2811210597714845,0
0,0,1,0.363967176352774,0
0,0,1,0.5543515844703114,0
0,1,0,0.4373432954783385,0
0,1,0,0.2453993826977695,0
0,1,1,0.5900794102477945,0
0,1,1,0.35562956532100476,0
0,1,1,0.34431920905300006,0
0,1,1,0.3406084244692894,0
0,1,0,0.3790962595736576,0
0,0,1,0.4846817302413842,0
0,0,1,0.3975222391323862,0
0,0,1,0.6556052278693502,0
1,0,0,0.4483409206185014,0
0,0,0,0.3882355366647164,0
1,0,0,0.4552918223688336,0
1,0,0,0.46521602943519386,1
1,0,0,0.5307240026082388,0
0,0,0,0.6849448967566858,0
1,0,1,0.5010589537191023,1
0,0,0,0.7937431871877006,0
0,0,0,0.39666878142873563,0
0,0,0,0.650348209500535,0
0,0,0,0.5903309841097282,0
1,0,0,0.5726814760032403,0
0,0,0,0.6996126973022132,0
0,0,0,0.5993743098697891,0
0,0,0,0.6731431668009289,0
0,0,0,0.6579425325472485,0
0,0,1,0.7575242084134397,0
1,0,1,0.4140926475113829,0
0,0,1,0.698519297860717,1
0,0,1,0.45360271777496997,1
0,0,1,0.6115866248443698,0
0,0,1,0.7728107983373937,0
0,0,0,0.5309664823826189,1
0,0,0,0.7296543198104959,1
0,0,1,0.6625691603842818,0
0,0,1,0.7628736339283272,0
0,0,1,0.583129332794534,1
0,0,1,0.46630871669836876,0
0,0,0,0.7669256131103412,0
0,1,0,0.5776748320784929,0
0,0,0,0.497577631079193,0
0,1,0,0.6774828341675444,0
0,0,1,0.6149117291248756,0
1,0,1,0.6907774492566238,0
0,0,1,0.583816102918105,0
0,0,1,0.6051760719317678,0
0,0,1,0.659660570051667,0
0,0,1,0.6879746847377738,0
0,1,0,0.482790813516455,1
0,1,0,0.5687886669240181,0
0,1,1,0.36659957730502624,1
0,1,1,0.4984063092362603,0
0,1,1,0.9031097507882235,0
0,1,1,0.9107608818498772,0
0,1,0,0.5373581232905441,0
0,1,0,0.48514174464061965,0
0,0,0,0.3562008870427214,0
0,1,0,0.49371115274067595,0
0,0,1,0.4194021818744768,0
1,0,1,0.6697890354439152,1
0,0,1,0.41887647431903385,0
0,0,1,0.5610120682527029,0
0,0,1,0.565988697492232,0
0,0,1,0.7068687413402237,0
0,1,0,0.5079604347557509,0
0,1,0,0.45301818914889685,0
0,1,1,0.23709388813511018,0
0,1,1,0.4290452882138934,1
0,1,1,0.6470090629557125,0
0,1,1,0.7939836547341731,0
0,1,0,0.3214326981034834,0
1,1,0,0.5202132486807096,0
1,0,0,0.5508423157018691,0
0,1,0,0.6030768778743675,0
0,0,0,0.3359517854565891,0
0,0,0,0.3975119795972527,0
0,0,0,0.5189949863499737,0
0,0,0,0.3268547682776819,0
0,0,0,0.5266790419488717,0
0,0,0,0.7217894820124127,0
0,1,0,0.31629133097805434,1
1,1,1,0.7427588413516224,1
1,1,0,0.4318371949612841,0
1,1,0,0.7010290310167281,0
0,1,0,0.664078267170882,0
0,1,0,0.5832785198049463,0
1,1,1,0.625946551592425,1
1,1,0,0.6342868300913287,0
1,0,0,0.5093965222651029,0
0,1,0,0.7850813409406285,0
0,0,0,0.523807226430961,0
0,0,0,0.460660193034371,0
0,0,0,0.5954179896728813,0
0,0,0,0.3919434155950027,0
0,0,0,0.6565873568193803,1
0,0,0,0.7888640080170239,0
0,1,0,0.3355177398221774,0
1,1,0,0.5974465542981546,0
1,1,0,0.3894190295633191,0
1,1,0,0.5786609677753307,0
0,1,0,0.8853552000622471,0
0,1,0,0.7776931837376566,0
1,1,0,0.5697770243586818,0
0,1,0,0.6501559380965516,0
0,1,0,0.47245867978475997,0
1,1,0,0.7315765098385436,0
0,0,1,0.5028960721935671,1
0,1,1,0.5350516221715813,1
0,1,1,0.37320165577766606,0
0,1,1,0.8280895946414021,0
0,1,1,0.4306870972179202,0
0,0,1,0.4860229488403376,0
0,1,0,0.6945008821697266,0
0,1,0,0.5774953540021883,0
0,1,0,0.4576679678277169,0
1,1,0,0.7716557937106953,0
0,0,1,0.3318699180479603,0
0,1,1,0.5075876077196249,0
0,1,1,0.31660212240685615,1
0,1,1,0.6863569598088206,0
0,1,1,0.22933425089192971,0
0,0,1,0.6484885573978769,0
0,1,0,0.592970018774073,0
0,1,0,0.5809157741357626,1
0,1,1,0.5197244392229069,0
0,1,0,0.6324442524583966,0
0,0,0,0.5620520008893588,0
0,1,0,0.7237330931302631,0
0,1,0,0.35393687836426346,0
0,1,0,0.797074512642215,0
0,1,0,0.4582742627227241,0
0,0,0,0.7013837162877702,0
0,1,1,0.6419147095479562,0
0,1,0,0.6796217633255336,0
0,1,0,0.4814991699595433,0
0,1,0,0.8598511164737725,0
0,0,1,0.4153628200423507,0
0,1,1,0.5691575439246528,0
0,1,1,0.28818158589571463,1
0,1,1,0.6947896757019922,0
0,1,1,0.27858320762742017,0
0,0,1,0.7558963313428229,0
0,1,0,0.6331468997761373,1
0,1,1,0.6994451653011085,0
1,1,0,0.7196737613825509,1
0,1,0,0.6744151440675775,0
0,0,0,0.7114404228865778,1
0,1,0,0.6669276244585822,0
1,1,0,0.669834699638034,0
0,1,0,0.7106118693628377,0
0,1,0,0.7055194472397481,0
0,0,0,0.6412237909192328,1
1,1,0,0.6681640475107291,0
0,1,0,0.6287937259933835,0
1,1,0,0.5853417384536783,1
0,1,0,0.7407412988219978,0
0,0,0,0.5604712950046205,0
0,1,0,0.8057562471142925,0
1,1,0,0.4304885144994888,0
0,1,0,0.6397872636927956,0
0,1,0,0.5080851313114279,0
0,0,0,0.8081049279715546,0
1,1,0,0.6096775877025613,0
0,1,0,0.5393298505083596,0
0,1,0,0.7515479953687614,0
1,1,0,0.5963342607299567,0
0,0,0,0.4893022911117461,0
0,1,0,0.6627725034315717,0
0,1,0,0.5687498284927289,0
0,1,0,0.5904768447391301,0
0,1,0,0.6175519805479668,0
0,0,0,0.6075014611893091,0
0,1,0,0.4699884129502046,1
0,1,0,0.7813834394345767,0
0,1,1,0.43620432759113137,0
1,1,0,0.8573435064104171,0
0,0,0,0.4925187962905353,0
0,1,0,0.5159452423878387,0
0,1,0,0.45135236522486805,0
0,1,0,0.758843927236362,0
0,1,0,0.4153386978909982,0
0,0,0,0.7007448010143528,0
0,1,1,0.7679383390730641,0
0,0,0,0.599006970322841,1
0,1,1,0.4029152635617842,0
0,0,0,0.7531722277377995,0
0,1,1,0.542569790839561,0
1,1,1,0.6257662010927345,0
0,1,1,0.8296764768971105,0
0,0,0,0.7158993877810583,0
0,0,0,0.5107291080468023,0
0,1,1,0.4949538613220982,0
0,1,1,0.4580159638783056,0
0,1,1,0.5947088250997062,0
0,1,0,0.5031932924240002,1
0,1,0,0.5213653786941278,0
0,1,1,0.6817507975186241,1
0,0,1,0.6357963145825782,0
1,0,0,0.8001142130657881,1
1,1,1,0.7625458087042432,1
0,0,0,0.6994742873732751,0
0,0,0,0.7692800735951921,1
0,1,1,0.3831712465215601,0
0,0,0,0.5745960758147358,0
0,1,1,0.4761757326249399,1
1,1,1,0.5871074252939373,1
0,1,1,0.7377141402486205,1
0,0,0,0.6648582948901411,0
0,0,0,0.37130753479896195,0
0,1,1,0.4697365324604481,0
0,1,1,0.5093504040530469,0
0,1,1,0.8121926735683614,0
0,1,0,0.35099869857645716,1
0,1,0,0.4288727061459481,0
0,1,1,0.8195286960937312,1
0,0,1,0.6612559462427128,0
1,0,0,0.754761425791985,0
1,1,1,0.8746126628610896,0
0,0,0,0.6249005350167015,0
0,0,0,0.8137864012163964,0
0,1,0,0.38207267728954386,0
0,0,1,0.6380460839845387,0
0,1,0,0.5701452871552547,0
1,1,0,0.6584414331383845,0
0,1,0,0.6535701720694814,0
0,0,0,0.5971086361670775,0
0,0,0,0.33535477688038073,0
0,1,0,0.4731392770014772,0
0,1,0,0.48778103573391246,0
0,1,0,0.784040213049069,0
0,1,0,0.38274240615232574,0
0,1,1,0.5068674592249128,1
0,1,0,0.8467511810276303,1
0,0,0,0.6699844796565441,0
1,0,0,0.7442041509180085,1
1,1,0,0.871714284732114,0
0,0,0,0.729937973916179,0
0,0,1,0.6391226006100238,0
0,0,0,0.5070769769080414,0
1,1,0,0.7569319970861703,0
0,0,0,0.36408127451992245,0
0,0,0,0.5477071492857148,0
0,0,0,0.9531219467235694,0
0,0,0,0.7889813713082643,0
0,0,1,0.6826607373881108,0
0,0,0,0.46756919527118057,0
0,0,0,0.48751207993871815,0
0,0,0,0.7017838162299648,1
0,0,0,0.5307551198827477,0
0,0,0,0.639401256850843,0
0,0,0,0.7001517438681499,1
1,0,0,0.8084399629480994,1
0,0,1,0.9039181142788306,0
0,0,0,0.7675855406738217,0
0,0,1,0.7140384737583044,0
0,0,1,0.7972788597303607,0
0,0,0,0.6898291050332013,0
0,0,0,0.46069607247267824,0
1,0,0,0.600433649289119,0
0,0,0,0.5910430284050497,0
0,0,0,0.6133541289226544,0
0,0,0,0.8070541593411482,0
0,0,1,0.5564909116018605,0
1,0,0,0.5929912723958113,1
0,0,0,0.7553559374436563,0
1,0,0,0.4372363042760197,0
0,0,0,0.6725367585242511,1
0,0,0,0.5671411016680192,0
1,0,0,0.46048611295020075,0
0,0,0,0.7026898954000901,0
0,1,1,0.6888208971038376,1
0,0,0,0.5800017884140339,0
0,0,1,0.5704550800207038,0
0,0,0,0.7974530943897948,0
0,1,1,0.44549595280159904,0
0,0,0,0.728078156904876,0
0,1,1,0.47844194733112205,0
1,1,1,0.5867639376047954,0
0,1,1,0.8203882627605658,1
0,0,0,0.8412615806964894,0
0,0,0,0.628298334417516,0
0,1,1,0.6021406726065264,0
0,1,1,0.661577306906713,0
0,1,1,0.7486699375147304,1
0,1,0,0.5140921902573518,0
0,1,0,0.5768185826736758,0
0,1,1,0.6726839502275569,0
0,0,1,0.7984413552256542,1
1,0,0,0.808213767842967,0
1,1,1,0.8197262381026154,0
0,0,0,0.7446707478204584,0
0,0,0,0.6448489977533252,1
0,1,0,0.3781503044791296,0
0,0,0,0.7367664215174322,0
1,1,0,0.5497500486069187,0
0,1,0,0.6010725797550217,0
0,1,0,0.8162307423201836,1
0,0,1,0.6951220440795196,0
0,0,0,0.556240158833231,0
1,1,0,0.4943791624248614,0
0,1,0,0.5258016824459686,0
1,1,0,0.7591414994029994,0
0,1,0,0.45934888223384657,1
0,1,0,0.5205826222361978,0
1,1,0,0.8307294323637529,1
0,0,0,0.7632232987054578,0
0,0,0,0.823600189239911,1
0,1,0,0.8778586450712689,0
0,0,0,0.7994914919090337,0
1,0,0,0.7586083899053424,0
1,0,0,0.491066101434531,0
0,1,1,0.5896315940850042,0
0,0,0,0.5244260543466854,0
0,0,0,0.6398039054095637,0
0,0,0,0.8501044281048914,1
1,0,0,0.7223585130796972,0
1,0,0,0.4799717047724584,0
0,0,0,0.3872573229270325,0
1,0,0,0.4468507290477178,0
0,0,0,0.7519883794236282,0
0,0,0,0.53108235245241,0
0,0,1,0.5587470061101067,0
0,0,0,0.8611841609355539,1
0,0,0,0.8499907412854801,0
0,0,0,0.8765389451065071,0
0,0,0,0.8063954839372185,0
1,0,0,0.6760158944300899,0
0,0,0,0.825946471705133,0
0,0,0,0.5028298187819338,0
0,0,1,0.7215161297777237,0
1,0,0,0.5688418418992495,0
0,0,0,0.7144782550738413,0
0,0,0,0.8385627622540432,0
0,0,0,0.8081409563370255,0
0,0,0,0.603618289144962,0
1,0,0,0.5700551122770733,0
0,0,0,0.5798952461106339,0
1,0,0,0.8356130301637728,0
0,0,0,0.5940928453556027,1
0,0,1,0.48864731745950674,0
1,0,0,0.800266959426509,0
0,1,0,0.8778209349369885,1
0,0,0,0.8265242875763332,0
0,0,0,0.8037239790850574,0
0,0,0,0.7200379149013566,0
0,0,0,0.6555310981142362,0
0,1,1,0.37553717803023956,0
0,0,0,0.8697648210866697,0
0,1,1,0.4988842879950416,0
1,1,1,0.511022331085289,0
0,1,1,0.7723290108100042,0
0,0,0,0.7063079323801268,0
0,0,0,0.682966999966997,0
0,1,1,0.5225218036226693,0
0,1,1,0.6409303929653773,0
0,1,1,0.7622025465906013,0
0,1,0,0.4635337521255264,0
0,1,0,0.7387974924999055,0
0,1,1,0.6870261072829528,1
0,0,1,0.704642111701021,0
1,0,0,0.8040782504306381,0
1,1,1,0.757985925175488,0
0,0,0,0.653899085419145,0
0,0,0,0.6376472932184829,0
0,1,1,0.6729916002879068,0
0,0,0,0.6053967576213444,0
1,1,1,0.4634191025884745,1
0,1,1,0.5493878173239573,0
0,1,1,0.9077312989265567,0
0,0,0,0.6898483679857562,1
0,0,0,0.5532001201698189,0
1,1,1,0.41175558080583463,0
0,1,1,0.6189584050707131,0
1,1,1,0.5629118997911324,1
0,1,0,0.49095206157449034,1
0,1,0,0.6237329035435475,0
1,1,1,0.6948559100240185,1
0,0,1,0.742659567827352,1
0,0,0,0.8710670174227831,1
0,1,1,0.7432951744571639,1
0,0,0,0.6093355826431185,0
0,0,0,0.8364278196937799,0
0,1,1,0.5769473271435468,0
0,0,0,0.5271761544653045,0
0,1,1,0.7739331682490713,0
1,1,1,0.840252667987722,0
0,1,1,0.5944998294782561,1
0,0,0,0.6402709019216956,0
0,0,0,0.39218566132498134,0
0,1,1,0.6655916365086325,0
0,1,1,0.7042761916931373,0
0,1,1,0.7917318222963531,0
0,1,0,0.6180404315162842,0
0,1,0,0.35529794848682617,0
0,1,1,0.8599269055330055,1
0,0,1,0.7251979041358813,0
1,0,0,0.6153461946744355,0
1,1,1,0.7569909069230558,0
0,0,0,0.6532279097412637,0
0,0,0,0.7950729309124024,0
0,1,1,0.6987922196758202,0
0,0,0,0.6602814589952348,0
0,1,1,0.6858013307132125,0
1,1,1,0.6144303010420411,0
0,1,1,0.6226069611830525,0
0,0,0,0.8226711494174008,0
0,0,0,0.6727212013359354,0
0,1,1,0.7108976000536439,0
0,1,1,0.7993927911661236,0
0,1,1,0.5189791471215971,0
0,1,0,0.6090276467744918,0
0,1,0,0.6433712021244133,0
0,1,1,0.4384947535740559,0
0,0,1,0.7255701554540659,0
1,0,0,0.6741912168155072,0
1,1,1,0.6947219749264635,0
0,0,0,0.6190764972514629,0
1,0,0,0.5954192487207819,0
1,0,1,0.4076598777538364,0
0,0,0,0.844229032390431,0
0,0,1,0.357511404377847,0
0,0,1,0.4783385716159548,0
0,0,1,0.8377061978208802,1
1,1,0,0.6289100105164033,0
1,0,0,0.724483076651973,0
0,0,1,0.408073113042557,0
1,0,1,0.5268088169130453,0
0,0,1,0.7588607309768689,1
0,0,0,0.4252883209014423,0
0,0,0,0.7139298112598436,0
0,0,1,0.6898021462918382,0
0,0,1,0.730874826334116,0
0,0,0,0.8003949080807276,0
0,0,1,0.6682605098541836,0
1,0,0,0.5718457131861809,0
0,0,1,0.6775714496957268,0
0,0,0,0.7035603205343604,0
0,0,0,0.6801482075694865,0
1,0,0,0.6562567607913472,0
0,0,0,0.580751016063262,0
0,0,0,0.5785379540421932,0
0,0,0,0.7252624633353597,0
0,0,1,0.7226087506600883,0
1,0,0,0.6799494427958405,0
0,0,0,0.6301628053236573,0
1,0,0,0.5142688860123431,0
0,0,0,0.659327003174368,0
0,0,0,0.601587589680989,0
1,0,0,0.5018873804610884,0
0,0,0,0.7989888110743111,0
0,1,1,0.7184938374868135,1
0,0,0,0.7175021935077079,0
0,0,1,0.8653389988770912,0
0,0,0,0.7687797426286005,0
0,1,0,0.511337336548202,0
0,0,0,0.7254100606063275,0
0,1,0,0.40489006633535074,1
0,1,0,0.5207444673268907,0
1,1,0,0.8185067077983883,1
0,0,1,0.770053556963468,0
0,0,0,0.6334360905870332,0
0,1,0,0.4954238981784276,0
0,1,0,0.6755498632427471,1
0,1,0,0.6421435894109072,0
1,1,0,0.42955415811709585,1
1,1,0,0.6885158494259902,1
0,1,0,0.589092489480791,1
0,0,0,0.7415109188319171,0
0,0,0,0.8153651115220659,1
0,1,0,0.774666683646358,1
0,0,0,0.6596476522451634,0
0,0,0,0.8108192795145412,0
0,1,1,0.373172748365794,0
0,0,0,0.7039224211502961,0
1,1,1,0.5854785836708027,1
0,1,1,0.711067829558048,1
0,1,1,0.764398182572285,1
0,0,0,0.7201096540763412,0
0,0,0,0.5,0
1,1,1,0.5333017338793984,0
0,1,1,0.5436180600506879,0
1,1,1,0.901012559539476,0
0,1,0,0.5030828207365793,1
0,1,0,0.5170723988857907,0
1,1,1,0.8921245593242704,1
0,0,1,0.8112102987893274,0
0,0,0,0.7803124813710771,1
0,1,1,0.8716235787070601,1
0,0,0,0.7289626704306766,0
0,0,0,0.6367348911861753,0
0,0,1,0.2356646903917789,1
1,0,0,0.7474195910799628,0
0,0,1,0.31573687853265386,1
0,0,1,0.4174227127797827,0
0,0,1,0.6827984074019762,0
0,0,0,0.5877550538816506,1
0,0,0,0.5379405478658635,0
0,0,1,0.4423778284042175,0
0,0,1,0.4926051901507411,0
0,0,1,0.7255906481273975,1
0,0,0,0.32792833809415056,0
0,0,0,0.686840036714608,0
0,0,1,0.5965032800992982,0
1,0,1,0.549809930857411,0
0,0,0,0.6707284400953041,0
0,0,1,0.6528625374350132,0
0,0,0,0.49119642925183843,0
0,1,1,0.4116576328716991,1
0,1,0,0.32466362253693043,0
0,1,0,0.6323617372706845,0
0,1,0,0.6680273480852079,1
1,1,0,0.6504620249021136,1
0,1,0,0.36368825427454804,1
0,1,0,0.7256081630487916,1
0,1,0,0.6524714882446118,1
0,0,0,0.6079524140958912,0
0,1,0,0.6880520008600275,0
0,1,0,0.5499841626524802,0
0,1,0,0.390622079640077,0
1,1,0,0.9266820259288,0
0,1,1,0.87907089434376,1
0,1,1,0.7216117294086308,1
0,1,1,0.36156420866555056,0
0,1,1,0.46641005045377126,1
1,1,1,0.6599662595328616,0
0,0,0,0.4562947749203084,0
0,1,0,0.7230870560712739,0
0,1,0,0.7853186600743085,0
0,1,0,0.5783151286704524,0
1,1,0,0.49633362097899786,0
0,1,0,0.4516163970158457,0
0,1,0,0.7869564250772603,0
0,1,0,0.45359010968809915,0
0,1,0,0.7146086521989863,1
1,1,0,0.6183785564848043,0
0,0,0,0.5227207020485306,0
0,1,0,0.6156021940360924,0
0,1,0,0.5521648201058639,0
0,1,0,0.5442092576082003,0
0,1,0,0.7903850655308828,0
0,1,1,0.8390046839923001,1
